央视频道,#genre#
CCTV-1,http://cntv.lat/tv/live.php?auth=231110&id=cctv1HD
CCTV-2,http://cntv.lat/tv/live.php?auth=231110&id=cctv2HD
CCTV-3,http://cntv.lat/tv/live.php?auth=231110&id=cctv3HD
CCTV-4,http://cntv.lat/tv/live.php?auth=231110&id=cctv4HD
CCTV-5,http://cntv.lat/tv/live.php?auth=231110&id=cctv5HD
CCTV-6,http://cntv.lat/tv/live.php?auth=231110&id=cctv6HD
CCTV-7,http://cntv.lat/tv/live.php?auth=231110&id=cctv7HD
CCTV-8,http://cntv.lat/tv/live.php?auth=231110&id=cctv8HD
CCTV-9,http://cntv.lat/tv/live.php?auth=231110&id=cctv9HD
CCTV-10,http://cntv.lat/tv/live.php?auth=231110&id=cctv10HD
CCTV-11,http://cntv.lat/tv/live.php?auth=231110&id=cctv11HD
CCTV-12,http://cntv.lat/tv/live.php?auth=231110&id=cctv12HD
CCTV-13,http://cntv.lat/tv/live.php?auth=231110&id=cctv13HD
CCTV-14,http://cntv.lat/tv/live.php?auth=231110&id=cctv14HD
CCTV-15,http://cntv.lat/tv/live.php?auth=231110&id=cctv15HD
CCTV-16,http://cntv.lat/tv/live.php?auth=231110&id=cctv16HD
CCTV-17,http://cntv.lat/tv/live.php?auth=231110&id=cctv17HD
CCTV-4K,https://cntv.lat/tv/live.php?auth=231110&id=CCTV4K
风云剧场,https://cntv.lat/tv/live.php?auth=231110&id=fyjcHD
第一剧场,https://cntv.lat/tv/live.php?auth=231110&id=diyijuchangHD
女性时尚,https://cntv.lat/tv/live.php?auth=231110&id=nvxing
怀旧剧场,https://cntv.lat/tv/live.php?auth=231110&id=hjjcHD
风云音乐,https://cntv.lat/tv/live.php?auth=231110&id=fyyyHD
央视台球,https://cntv.lat/tv/live.php?auth=231110&id=ystqHD
风云足球,https://cntv.lat/tv/live.php?auth=231110&id=fyzqHD
央视文化精品,https://cntv.lat/tv/live.php?auth=231110&id=yswhHD
